Filename,Title,Keywords,Category,Releases
concept_01.jpg,Diverse Team Collaborating in Office Meeting,"diverse team, office meeting, collaboration, productivity, modern office, natural light, wooden table, professionals, laptop, notes, discussion, business, meeting room, teamwork, communication, problem solving, strategy, planning, leadership, management",3,no
concept_02.jpg,Solo Female Hiker Enjoying Mountain View,"solo female hiker, mountain peak, breathtaking view, sunset, golden light, earth tones, adventure, freedom, nature, landscape, mountains, hiking, outdoors, travel, exploration, solitude, serenity, majestic, scenic",11,no
concept_03.jpg,Fresh Fruit Salad with Assorted Fruits,"fresh fruit salad, colorful, assorted fruits, healthy eating, natural light, vibrant, appetizing, food, drink, fruit, salad, bowls, mint leaves, sugar, strawberries, blueberries, grapes, pineapple, breakfast, brunch, snack, lunch",7,no
concept_04.jpg,Young Programmer Working on Laptop Code,"young programmer, laptop, coding, books, notes, coffee cups, dim lighting, blue glow, focus, intensity, innovation, technology, programming, coding, software, development, it, tech, gaming, app development, web development",19,no
concept_05.jpg,Serene Forest Landscape with Misty atmosphere,"serene forest, misty, towering trees, peaceful, mystical, nature, landscape, environment, ecology, conservation, wildlife, outdoors, travel, adventure, exploration, hiking, camping, forestry, wilderness",11,no
concept_06.jpg,Diverse Group of Friends Laughing Together,"diverse group, friends, laughing, having fun, inclusivity, diversity, age, ethnicity, ability, disability, inclusion, togetherness, community, social, friendship, love, acceptance, tolerance, equality, social justice",17,no
concept_07.jpg,Mindful Meditation in Nature Outdoor Setting,"mindful meditation, outdoor nature, peaceful, serene, relaxation, wellness, self-care, mindfulness, nature, outdoors, calm, tranquility, inner peace, mental health, stress relief, anxiety, depression, yoga, meditation, breathwork",6,no
concept_08.jpg,Remote Worker Typing on Laptop in Coffee Shop,"remote worker, coffee shop, laptop, typing, cozy, comfortable, productive, relaxed, focus, work, remote work, freelance, digital nomad, coffee, cafe, coffeeshop, lifestyle, work-life balance, flexibility",3,no
concept_09.jpg,Happy Family Playing Outdoor Games Together,"happy family, outdoor games, playing together, fun, togetherness, lifestyle, family, love, playful, outdoors, park, backyard, games, laughter, smiles, joy, happiness, together, bonding, family time",12,no
concept_10.jpg,Beautiful Sunset Over Ocean Horizon,"beautiful sunset, ocean, warm colors, vibrant, breathtaking, serene, nature, landscape, environment, ecology, conservation, wildlife, outdoors, travel, adventure, exploration, coastal, beach, sea, waves, sunset",11,no
