Filename,Description,Keywords,Categories,Editorial,Mature content
concept_01.jpg,"A group of diverse professionals seated around a meeting table in a modern office, engaged in discussion and collaboration. The room is filled with natural light and features a whiteboard with creativ","diverse team, office meeting, collaboration, innovation, inclusive, professionals, modern office, natural light, whiteboard, laptops, notepads, creative ideas, teamwork, communication, business, office, workplace, meeting room, corporate","Business, Office",no,no
concept_02.jpg,"A healthy and fit woman engaging in outdoor fitness activities in a park, surrounded by lush greenery and vibrant flowers. She is wearing a fitness tracker and holding a yoga mat, with a refreshing dr","fitness, woman, outdoor, healthy, exercise, park, nature, wellness, self-care, energy, vibrant, sunshine, .refreshing, yoga, meditation, workout, active, lifestyle, summer, greenery","Lifestyle, Fitness",no,no
concept_03.jpg,"A breakfast table setting with a variety of delicious food and drinks, including fresh fruits, baked goods, and a steaming cup of coffee. The scene is warm and inviting, with a cozy atmosphere.","breakfast, food, drinks, delicious, table setting, fresh fruits, baked goods, coffee, cozy, inviting, morning, meal, dining, tableware, culinary, gastronomy, appetizing, yum","Food, Breakfast",no,no
concept_04.jpg,"A virtual reality gaming setup in a modern living room, featuring a VR headset, gaming console, and a large screen TV. The scene is dark and moody, with a futuristic atmosphere.","virtual reality, gaming, setup, modern living room, futuristic, high-tech, immersive, thrilling, VR headset, gaming console, large screen TV, tech, innovation, entertainment, leisure, fun","Technology, Gaming",no,no
concept_05.jpg,"A serene and breathtaking mountain landscape scene featuring a majestic mountain range, a peaceful lake, and a vibrant forest. The scene is natural and soft, with a calm atmosphere.","mountain, landscape, serene, peaceful, lake, forest, nature, environment, breathtaking, majestic, earthly, calm, awe-inspiring, outdoors, scenic, travel, adventure, explore","Nature, Landscapes",no,no
concept_06.jpg,"A diverse group of friends enjoying a picnic in a park, surrounded by lush greenery and vibrant flowers. The scene is warm and sunny, with a joyful atmosphere.","diverse friends, picnic, park, inclusion, celebration, joy, vibrant, outdoor, games, food, drinks, nature, leisure, lifestyle, community, togetherness, fun","Lifestyle, People",no,no
concept_07.jpg,"A peaceful and calming meditation room scene featuring a serene atmosphere, a comfortable seating area, and a few soothing plants. The scene is soft and warm, with a relaxing atmosphere.","meditation, room, relaxation, peaceful, calming, serene, soothing, plants, candles, comfortable, seating, mindfulness, self-care, wellness, yoga, zen, inner peace","Wellness, Meditation",no,no
concept_08.jpg,"A cozy and inviting home office workspace scene featuring a comfortable desk, a comfortable chair, and a few productivity tools. The scene is warm and soft, with a calm atmosphere.","home office, workspace, remote work, cozy, comfortable, productivity, relaxed, calm, plants, coffee, desk, chair, laptop, tablet, office supplies, freelance, telecommute, work-from-home","Business, Home Office",no,no
concept_09.jpg,"A professional and sleek financial advisor office scene featuring a modern desk, a few financial tools, and a calm atmosphere. The scene is bright and airy, with a professional mood.","financial advisor, office, professional, sleek, modern, calm, trustworthy, financial tools, laptop, charts, books, investment, money, banking, finance, wealth, management","Business, Finance",no,no
concept_10.jpg,"A vibrant and sustainable eco-friendly farm scene featuring a variety of organic crops, a few farm animals, and a serene atmosphere. The scene is natural and soft, with a sustainable mood.","eco-friendly farm, sustainable, organic, crops, farm animals, serene, natural, soft, earthly, green, solar panels, wind turbine, eco-friendly tools, environmental, conservation, agriculture, farming","Nature, Environment",no,no
