Filename,Description,Keywords,Categories,Editorial,Mature content
concept_01.jpg,"A group of diverse professionals are seated in a modern conference room, engaged in a meeting, with laptops and notepads scattered around the table. The room is well-lit with natural light pouring in ","diverse team, business meeting, conference room, modern office, professional, collaboration, communication, corporate, entreprise, workspace, office space, teamwork, leadership, management, strategy, planning, discussion, brainstorming","Business, Office",no,no
concept_02.jpg,"A young woman is sitting on a rock, eyes closed, meditating, surrounded by lush green trees and a calm lake in the background, creating a peaceful and serene atmosphere.","meditation, outdoor, nature, relaxation, wellness, self-care, calm, peaceful, serene, women, health, fitness, yoga, mindfulness, balance, harmony, inner peace","Lifestyle, Wellness",no,no
concept_03.jpg,"A fresh fruit salad is arranged on a wooden table, featuring a variety of fruits such as strawberries, blueberries, and grapes, and a sprinkle of fresh mint leaves on top, creating a colorful and appe","fruit salad, fresh fruit, healthy eating, food, breakfast, lunch, dinner, snack, dessert, nutrition, wellness, fitness, delicious, appetizing, colorful, vibrant","Food, Fruit",no,no
concept_04.jpg,"A person is working on a laptop in a remote location, such as a coffee shop or co-working space, creating a modern and productive atmosphere, with a few people blurred in the background.","remote work, laptop, coffee shop, co-working space, productivity, focus, modern, minimalist, nomad, digital, online, work, job, career, freelance, entrepreneur","Technology, Remote Work",no,no
concept_05.jpg,"A breathtaking sunset scene over the ocean, with warm golden light, and a few seagulls flying in the distance, creates a serene and peaceful atmosphere, with a rocky shoreline and a few palm trees in ","sunset, ocean, nature, beach, serene, peaceful, calm, golden, warm, light, palm trees, seagulls, rocky shoreline, coastal, landscape, scenic","Nature, Landscapes",no,no
concept_06.jpg,"A diverse group of friends are laughing and having fun together, creating a lively and vibrant atmosphere, with a variety of ages, ethnicities, and abilities, and a few colorful balloons and confetti ","diverse group, friends, laughter, fun, inclusion, diversity, joy, happiness, togetherness, celebration, party, social, community, equality, acceptance","People, Diversity",no,no
concept_07.jpg,"A woman is practicing yoga on a mat, creating a serene and peaceful atmosphere, with a few yoga blocks and straps in the background, and a peaceful landscape outside the window.","yoga, wellness, self-care, fitness, health, relaxation, calm, peaceful, serene, mindfulness, balance, harmony, inner peace, women, exercise","Wellness, Fitness",no,no
concept_08.jpg,"A person is working on a laptop outdoors, such as in a park or backyard, creating a modern and productive atmosphere, with a few trees and flowers in the background, and a cup of coffee on the side.","remote work, laptop, outdoors, park, backyard, productivity, focus, modern, nomad, digital, online, work, job, career, freelance, entrepreneur","Technology, Remote Work",no,no
concept_09.jpg,"A modern and sleek office workspace features a desk, chair, and laptop, creating a professional and productive atmosphere, with a few plants and decorations in the background, and a cityscape outside ","modern office, workspace, desk, chair, laptop, professional, productivity, focus, corporate, entreprise, business, career, job, work, office space","Business, Office",no,no
concept_10.jpg,"A happy family is having dinner together, creating a warm and cozy atmosphere, with a few plates of food and glasses of wine on the table, and a few family photos on the wall in the background.","family, dinner, together, happy, warm, cozy, home, love, togetherness, celebration, food, wine, joy, happiness, family time","Lifestyle, Family",no,no
