Filename,Title,Keywords,Category,Releases
concept_01.jpg,Diverse Team Meeting in Office,"diverse team, office meeting, conference room, modern office, collaboration, diversity, inclusion, business, professional, meeting, teamwork, communication, laptops, notepads, screen display, natural light, friendly, collaborative, wooden table",3,no
concept_02.jpg,Active Senior Hiking in Nature,"active senior, hiking, outdoors, nature, scenic trail, adventure, fitness, wellness, confidence, independence, golden hour, earth tones, alone, walking stick, backpack, landscape",11,no
concept_03.jpg,Vegan Salad Preparation in Kitchen,"vegan salad, fresh, healthy, nutritious, modern kitchen, chef, food preparation, colorful vegetables, fruits, nuts, natural light, appetizing, vibrant",7,no
concept_04.jpg,Young Programmer Coding at Desk,"young programmer, coding, laptop, alone, desk, programming books, coffee, artificial light, neutral colors, calm, concentrated, software development, technology",19,no
concept_05.jpg,Serene Mountain Lake at Sunrise,"mountain lake, serene, sunrise, natural light, earthy tones, peaceful, calming, trees, rocks, misty atmosphere, landscape, scenic, breathtaking",11,no
concept_06.jpg,Diverse Friends Having Fun Together,"diverse friends, fun, outdoors, park, recreational area, games, blankets, picnic basket, natural light, vibrant colors, happy, carefree, inclusion, diversity",12,no
concept_07.jpg,Mindful Meditation in Nature,"mindful meditation, nature, outdoors, peaceful, calming, earthy tones, serene, contemplative, natural light, hands, facial expression, rocks, leaves, wellness, self-care",6,no
concept_08.jpg,Remote Worker at Coffee Shop,"remote worker, coffee shop, laptop, artificial light, neutral colors, calm, concentrated, coffee cups, notebooks, relaxed atmosphere, freelance, telecommute",3,no
concept_09.jpg,Fit Woman Practicing Yoga Outdoors,"fit woman, yoga, outdoors, natural light, earthy tones, energetic, uplifting, trees, rocks, lake, health, fitness, wellness, exercise",18,no
concept_10.jpg,Multicultural Family Having Dinner,"multicultural family, dinner, home, artificial light, vibrant colors, happy, loving, traditional dishes, cultural decorations, warm atmosphere, inclusion, diversity, family, together",12,no
