Filename,Description,Keywords,Categories,Editorial,Mature content
concept_01.jpg,A group of diverse professionals are seated in a conference room engaged in a meeting discussion. The room is brightly lit with natural light and has a large wooden table in the center. The atmosphere,"business, office, meeting, diverse, team, collaboration, conference, room, wooden, table, natural, light, friendly, professional, discussion, engaged, seated, diversity, inclusion, workplace, corporate, company","Business/Finance, People",no,no
concept_02.jpg,A person is lying on a blanket in a park surrounded by lush green trees and a few birds flying in the sky. The atmosphere is peaceful and relaxing.,"lifestyle, relaxation, outdoors, park, nature, serene, peaceful, person, blanket, trees, birds, flying, sky, warm, soft, light, earthy, calm, relaxing, leisure, recreation, wellness","Lifestyle, Nature",no,no
concept_03.jpg,"A plate of fresh fruits, nuts, and granola is placed on a wooden table. The fruits are colorful and the atmosphere is appetizing and healthy.","food, drink, breakfast, fresh, healthy, plate, fruits, nuts, granola, wooden, table, natural, light, vibrant, colorful, appetizing, healthy, nutrition, wellness, morning, meal","Food and Drink, Still Life",no,no
concept_04.jpg,"A person is sitting at a desk, working on a laptop, surrounded by a few screens and cables. The workspace is modern and sleek.","technology, laptop, work, desk, person, screens, cables, modern, sleek,  workspace, cool, neutral, light, monochromatic, focused, productive, office, remote, work-from-home, computer, software","Business/Finance, Technology",no,no
concept_05.jpg,"A mountain landscape with a few trees and a lake in the foreground, surrounded by tall mountains and a clear blue sky. The atmosphere is serene and awe-inspiring.","nature, environment, mountain, landscape, trees, lake, sky, natural, light, earthy, serene, awe-inspiring, outdoors, recreation, leisure, travel, adventure, scenic, beautiful, majestic","Nature, Landscapes",no,no
concept_06.jpg,"A diverse group of friends, of different ages, ethnicities, and abilities, are standing together and smiling. The atmosphere is happy and inclusive.","diversity, inclusion, group, friends, different, ages, ethnicities, abilities, standing, together, smiling, natural, light, colorful, happy, inclusive, social, community, equality, respect, friendship","People, Lifestyle",no,no
concept_07.jpg,"A person is sitting on a rock, meditating in a beautiful natural setting, surrounded by trees and a few birds flying in the sky. The atmosphere is peaceful and serene.","wellness, self-care, meditation, nature, outdoors, person, rock, trees, birds, flying, sky, natural, light, earthy, calm, relaxing, peaceful, serene, mindfulness, yoga, relaxation","Lifestyle, Wellness",no,no
concept_08.jpg,"A person is sitting at a desk, working on a laptop, in a modern and cozy home workspace, surrounded by a few plants and a window with a view of a city. The atmosphere is focused and productive.","remote, work, home, person, desk, laptop, plants, window, city, natural, light, pastel, focused, productive, cozy, modern, workspace, freelance, digital, nomad","Business/Finance, Lifestyle",no,no
concept_09.jpg,"A person is running in a park, surrounded by a few trees and a clear blue sky. The atmosphere is dynamic and energetic.","health, fitness, running, park, outdoors, person, trees, sky, natural, light, vibrant, active, healthy, exercise, workout, sports, recreation, leisure, wellness","Sports, Lifestyle",no,no
concept_10.jpg,"A sunset landscape with a few trees and a lake in the foreground, surrounded by tall mountains and a clear blue sky with a vibrant sunset. The atmosphere is serene and awe-inspiring.","nature, environment, sunset, landscape, trees, lake, mountains, sky, natural, light, earthy, serene, awe-inspiring, outdoors, recreation, leisure, travel, adventure, scenic, beautiful, majestic","Nature, Landscapes",no,no
