Filename,Title,Keywords,Category,Releases
concept_01.jpg,Diverse Team Meeting in Modern Office,"diverse team, meeting room, modern office, natural light, city view, collaboration, creativity, energy, inspiration, inclusion, diversity, equality, professionals, business, office, workplace, teamwork, communication, discussion",3,no
concept_02.jpg,Senior Woman Practicing Yoga Outdoors,"senior woman, yoga, outdoor, nature, serene, peaceful, calm, relaxing, flexible, balance, wellness, self-care, mindfulness, aging, active, healthy, lifestyle, fitness, exercise, yoga practice",6,no
concept_03.jpg,Fresh Fruit Salad Bowl with Granola,"fresh fruit, salad, bowl, colorful, healthy, nutritious, appetizing, inviting, breakfast, snack, lunch, dinner, food, fruit salad, granola, mint, freshness, quality, wholesome, delicious",7,no
concept_04.jpg,Person Working on Laptop in Modern Office,"person, working, laptop, modern, office, minimalist, focus, concentration, innovation, productivity, calm, efficient, technology, work, job, career, business, professional, remote work, freelance",19,no
concept_05.jpg,Serene Mountain Landscape with Lake,"serene, mountain, landscape, lake, calm, peaceful, relaxing, nature, environment, outdoor, scenic, beautiful, majestic, vast, expansive, earth tones, pastel colors, tranquility, serenity",11,no
concept_06.jpg,Diverse Group of Friends Socializing,"diverse, group, friends, socializing, fun, inclusive, diversity, equality, celebration, joy, laughter, smiling, connection, interaction, community, culture, background, ethnicity, race, gender, age",17,no
concept_07.jpg,Woman Meditating Outdoors in Nature,"woman, meditating, outdoors, nature, peaceful, serene, calm, relaxing, focus, wellness, self-care, mindfulness, connection, earth tones, pastel colors, tranquility, calming, soothing",6,no
concept_08.jpg,Person Working from Home in Comfortable Office,"person, working, home, comfortable, organized, office, focus, productivity, comfort, efficiency, calm, productive, laptop, books, papers, remote work, freelance, flexible, work-life balance",19,no
concept_09.jpg,Family Celebrating Birthday with Cake and Balloons,"family, celebrating, birthday, cake, balloons, gifts, joy, excitement, celebration, festivity, happy, lively, connection, interaction, love, togetherness, special occasion, holiday, party",9,no
concept_10.jpg,Person Managing Finances with Laptop and Calculator,"person, managing, finances, laptop, papers, calculator, focus, organization, responsibility, management, calm, productive, money, budget, investment, savings, financial planning, personal finance, economy",3,no
