Filename,Description,Keywords,Categories,Editorial,Mature content
concept_01.jpg,"A group of diverse professionals are seated around a conference table in a modern office, engaged in a discussion. The room is filled with natural light and has a city view.","business, team, meeting, diverse, office, conference, room, professionals, discussion, city, view, natural, light, modern, architecture, coworkers, colleagues, communication, leadership, management","Business & Finance, People",no,no
concept_02.jpg,"A person is sitting in a cross-legged pose, meditating in a peaceful forest surroundings, surrounded by greenery and a misty atmosphere.","meditation, nature, relaxation, wellness, outdoors, forest, peaceful, serene, calm, mindfulness, yoga, spirituality, health, self-care, solitude, greenery, environment","Health & Wellness, Nature",no,no
concept_03.jpg,"A bowl of fresh fruit salad, containing a variety of exotic fruits such as kiwi, strawberries, and pineapple, arranged in a decorative pattern.","fruit, salad, healthy, food, fresh, exotic, colorful, delicious, appetizing, breakfast, snack, brunch, lunch, dinner, nutrition, wellness, health, cuisine","Food & Drink, Still Life",no,no
concept_04.jpg,"A person is sitting at a small table in a coffee shop, working on a laptop, with a cup of coffee and a notepad, surrounded by a blurred background of other coffee shop patrons.","remote, work, coffee, shop, laptop, modern, sleek, cozy, focused, productive, freelance, digital, nomad, flexible, worklife, balance, technology, innovation","Business & Finance, Technology",no,no
concept_05.jpg,"A panoramic view of a beautiful sunset landscape, with a range of hills and mountains in the distance, and a vast sky with warm and golden colors.","sunset, landscape, nature, environment, hills, mountains, dramatic, stunning, warm, golden, vast, expansive, scenic, view, outdoors, wilderness, conservation","Nature, Landscapes",no,no
concept_06.jpg,"A group of diverse friends, from different ethnicities and abilities, are standing together and smiling, with their arms around each other, in a park or outdoor setting.","diverse, group, friends, inclusion, equality, multicultural, ethnicity, ability, disability, smiling, laughing, fun, playful, energetic, lively, vibrant, colorful, community","People, Diversity",no,no
concept_07.jpg,"A person is practicing yoga in a calm and natural environment, surrounded by greenery and a peaceful atmosphere, with a focus on the person's calm and focused expression.","yoga, wellness, self-care, relaxation, calm, peaceful, natural, outdoors, serene, focused, mindfulness, health, fitness, flexibility, balance, harmony","Health & Wellness, Fitness",no,no
concept_08.jpg,"A person is sitting at a desk in a home office, working on a laptop, with a cup of coffee and a notepad, surrounded by a cozy and inviting atmosphere.","remote, work, home, office, laptop, coffee, modern, cozy, inviting, comfortable, productive, relaxed, flexible, worklife, balance, technology, innovation","Business & Finance, Technology",no,no
concept_09.jpg,"A family is having a picnic in a park, with a blanket, a basket of food, and a few outdoor games, surrounded by a lively and playful atmosphere.","family, picnic, park, outdoors, happy, lively, joyful, playful, affectionate, love, relationship, together, fun, games, food, nature, environment","People, Family",no,no
concept_10.jpg,"A person is hiking in the mountains, with a backpack and hiking poles, surrounded by a stunning and dramatic landscape, with a breathtaking view and a sense of adventure.","travel, adventure, hiking, mountains, outdoors, nature, landscape, stunning, dramatic, breathtaking, view, energetic, determined, exploration, discovery, expedition","Travel & Adventure, Landscapes",no,no
